repo name,username,stars,link repo
system-design-primer,donnemartin,248000,https://github.com/donnemartin/system-design-primer
awesome-python,vinta,200000,https://github.com/vinta/awesome-python
tensorflow,tensorflow,181000,https://github.com/tensorflow/tensorflow
Python,TheAlgorithms,176000,https://github.com/TheAlgorithms/Python
CS-Notes,CyC2018,171000,https://github.com/CyC2018/CS-Notes
project-based-learning,practical-tutorials,159000,https://github.com/practical-tutorials/project-based-learning
AutoGPT,Significant-Gravitas,159000,https://github.com/Significant-Gravitas/AutoGPT
transformers,huggingface,121000,https://github.com/huggingface/transformers
30-seconds-of-code,Chalarangelo,118000,https://github.com/Chalarangelo/30-seconds-of-code
free-programming-books-zh_CN,justjavac,108000,https://github.com/justjavac/free-programming-books-zh_CN
HelloGitHub,521xueweihan,82800,https://github.com/521xueweihan/HelloGitHub
thefuck,nvbn,82100,https://github.com/nvbn/thefuck
pytorch,pytorch,76200,https://github.com/pytorch/pytorch
django,django,75900,https://github.com/django/django
fastapi,tiangolo,68900,https://github.com/tiangolo/fastapi
core,home-assistant,67800,https://github.com/home-assistant/core
yt-dlp,yt-dlp,67300,https://github.com/yt-dlp/yt-dlp
flask,pallets,65900,https://github.com/pallets/flask
ML-For-Beginners,microsoft,64700,https://github.com/microsoft/ML-For-Beginners
devops-exercises,bregman-arie,62400,https://github.com/bregman-arie/devops-exercises
